AstarPath.AstarDistribution	astarpath.html#AstarDistribution	Information about where the package was downloaded.
Pathfinding.AIBase.waitingForPathCalculation	aibase.html#waitingForPathCalculation	Only when the previous path has been calculated should the script consider searching for a new path.
Pathfinding.AIBase.whenCloseToDestination	aibase.html#whenCloseToDestination	What to do when within endReachedDistance units from the destination. \n\nThe character can either stop immediately when it comes within that distance, which is useful for e.g archers or other ranged units that want to fire on a target. Or the character can continue to try to reach the exact destination point and come to a full stop there. This is useful if you want the character to reach the exact point that you specified.\n\n[more in online documentation]
Pathfinding.AIDestinationSetter.ai	aidestinationsetter.html#ai	
Pathfinding.AIDestinationSetter.entity	aidestinationsetter.html#entity	
Pathfinding.AIDestinationSetter.target	aidestinationsetter.html#target	The object that the AI should move to.
Pathfinding.AIDestinationSetter.useRotation	aidestinationsetter.html#useRotation	If true, the agent will try to align itself with the rotation of the target. \n\nThis can only be used together with the FollowerEntity movement script. Other movement scripts will ignore it.\n\n <b>[video in online documentation]</b>\n\n[more in online documentation]
Pathfinding.AIDestinationSetter.world	aidestinationsetter.html#world	
Pathfinding.AILerp.autoRepath	ailerp.html#autoRepath	Determines how the agent recalculates its path automatically. \n\nThis corresponds to the settings under the "Recalculate Paths Automatically" field in the inspector.
Pathfinding.AILerp.canMove	ailerp.html#canMove	Enables or disables movement completely. \n\nIf you want the agent to stand still, but still react to local avoidance and use gravity: use isStopped instead.\n\nThis is also useful if you want to have full control over when the movement calculations run. Take a look at MovementUpdate\n\n[more in online documentation]
Pathfinding.AILerp.canSearch	ailerp.html#canSearch	Enables or disables recalculating the path at regular intervals. \n\nSetting this to false does not stop any active path requests from being calculated or stop it from continuing to follow the current path.\n\nNote that this only disables automatic path recalculations. If you call the SearchPath() method a path will still be calculated.\n\n[more in online documentation]
Pathfinding.AILerp.canSearchAgain	ailerp.html#canSearchAgain	Only when the previous path has been returned should a search for a new path be done.
Pathfinding.AILerp.canSearchCompability	ailerp.html#canSearchCompability	
Pathfinding.AILerp.desiredVelocity	ailerp.html#desiredVelocity	Velocity that this agent wants to move with. \n\nIncludes gravity and local avoidance if applicable. In world units per second.\n\n[more in online documentation]
Pathfinding.AILerp.desiredVelocityWithoutLocalAvoidance	ailerp.html#desiredVelocityWithoutLocalAvoidance	Velocity that this agent wants to move with before taking local avoidance into account. \n\nIncludes gravity. In world units per second.\n\nSetting this property will set the current velocity that the agent is trying to move with, including gravity. This can be useful if you want to make the agent come to a complete stop in a single frame or if you want to modify the velocity in some way.\n\n<b>[code in online documentation]</b>\n\n[more in online documentation]\n\n\nIf you are not using local avoidance then this property will in almost all cases be identical to desiredVelocity plus some noise due to floating point math.\n\n[more in online documentation]
Pathfinding.AILerp.destination	ailerp.html#destination	Position in the world that this agent should move to. \n\nIf no destination has been set yet, then (+infinity, +infinity, +infinity) will be returned.\n\nNote that setting this property does not immediately cause the agent to recalculate its path. So it may take some time before the agent starts to move towards this point. Most movement scripts have a <b>repathRate</b> field which indicates how often the agent looks for a new path. You can also call the SearchPath method to immediately start to search for a new path. Paths are calculated asynchronously so when an agent starts to search for path it may take a few frames (usually 1 or 2) until the result is available. During this time the pathPending property will return true.\n\nIf you are setting a destination and then want to know when the agent has reached that destination then you could either use reachedDestination (recommended) or check both pathPending and reachedEndOfPath. Check the documentation for the respective fields to learn about their differences.\n\n<b>[code in online documentation]</b><b>[code in online documentation]</b>
Pathfinding.AILerp.enableRotation	ailerp.html#enableRotation	If true, the AI will rotate to face the movement direction. \n\n[more in online documentation]
Pathfinding.AILerp.endOfPath	ailerp.html#endOfPath	End point of path the agent is currently following. \n\nIf the agent has no path (or it might not be calculated yet), this will return the destination instead. If the agent has no destination it will return the agent's current position.\n\nThe end of the path is usually identical or very close to the destination, but it may differ if the path for example was blocked by a wall so that the agent couldn't get any closer.\n\nThis is only updated when the path is recalculated.
Pathfinding.AILerp.hasPath	ailerp.html#hasPath	True if this agent currently has a path that it follows.
Pathfinding.AILerp.height	ailerp.html#height	Height of the agent in world units. \n\nThis is visualized in the scene view as a yellow cylinder around the character.\n\nThis value is currently only used if an RVOController is attached to the same GameObject, otherwise it is only used for drawing nice gizmos in the scene view. However since the height value is used for some things, the radius field is always visible for consistency and easier visualization of the character. That said, it may be used for something in a future release.\n\n[more in online documentation]
Pathfinding.AILerp.interpolatePathSwitches	ailerp.html#interpolatePathSwitches	If true, some interpolation will be done when a new path has been calculated. \n\nThis is used to avoid short distance teleportation. \n\n[more in online documentation]
Pathfinding.AILerp.interpolator	ailerp.html#interpolator	
Pathfinding.AILerp.interpolatorPath	ailerp.html#interpolatorPath	
Pathfinding.AILerp.isStopped	ailerp.html#isStopped	Gets or sets if the agent should stop moving. \n\nIf this is set to true the agent will immediately start to slow down as quickly as it can to come to a full stop. The agent will still react to local avoidance and gravity (if applicable), but it will not try to move in any particular direction.\n\nThe current path of the agent will not be cleared, so when this is set to false again the agent will continue moving along the previous path.\n\nThis is a purely user-controlled parameter, so for example it is not set automatically when the agent stops moving because it has reached the target. Use reachedEndOfPath for that.\n\nIf this property is set to true while the agent is traversing an off-mesh link (RichAI script only), then the agent will continue traversing the link and stop once it has completed it.\n\n[more in online documentation]\nThe steeringTarget property will continue to indicate the point which the agent would move towards if it would not be stopped.
